country,YearDisplay,SexDisplay,total_litres_of_pure_alcohol,millions of us dollars
Afghanistan,NA,NA,0,20842
Albania,NA,NA,4.9,13370
Azerbaijan,NA,NA,1.3,75198
Madagascar,NA,NA,0.8,10593
Malawi,NA,NA,1.5,4258
Malaysia,NA,NA,0.3,326933
Maldives,NA,NA,0,3032
Mali,NA,NA,0.6,12074
Malta,NA,NA,6.6,9643
Marshall Islands,NA,NA,0,191
Mauritania,NA,NA,0,5061
Mauritius,NA,NA,2.6,12616
Mexico,NA,NA,5.5,1282720
Mongolia,NA,NA,4.9,12016
Montenegro,NA,NA,4.9,4583
Morocco,NA,NA,0.5,107005
Mozambique,NA,NA,1.3,16386
Myanmar,NA,NA,0.1,64330
Namibia,NA,NA,6.8,13430
Nepal,NA,NA,0.2,19636
Bahrain,NA,NA,2,33869
Netherlands,NA,NA,9.4,869508
New Zealand,NA,NA,9.3,188385
Nicaragua,NA,NA,3.5,11806
Niger,NA,NA,0.1,8169
Nigeria,NA,NA,9.1,568508
Norway,NA,NA,6.7,500103
Oman,NA,NA,0.7,81797
Pakistan,NA,NA,0,246876
Palau,NA,NA,6.9,251
Bangladesh,NA,NA,0,173819
Panama,NA,NA,7.2,46213
Papua New Guinea,NA,NA,1.5,15413
Paraguay,NA,NA,7.3,30985
Peru,NA,NA,6.1,202903
Philippines,NA,NA,4.6,284582
Poland,NA,NA,10.9,548003
Portugal,NA,NA,11,229584
Qatar,NA,NA,0.9,211817
Barbados,NA,NA,6.3,4348
Romania,NA,NA,10.4,199044
Russian Federation,NA,NA,11.5,1860598
Rwanda,NA,NA,6.8,7890
Samoa,NA,NA,2.6,801
Saudi Arabia,NA,NA,0.1,746249
Belarus,NA,NA,14.4,76139
Senegal,NA,NA,0.3,15579
Serbia,NA,NA,9.6,43866
Seychelles,NA,NA,4.1,1406
Sierra Leone,NA,NA,6.7,4892
Singapore,NA,NA,1.5,307872
Slovenia,NA,NA,10.6,49416
Solomon Islands,NA,NA,1.2,1158
South Africa,NA,NA,8.2,349817
Belgium,NA,NA,10.5,533383
Spain,NA,NA,10,1404307
Sri Lanka,NA,NA,2.2,74941
Sudan,NA,NA,1.7,73815
Suriname,NA,NA,5.6,5299
Swaziland,NA,NA,4.7,3400
Sweden,NA,NA,7.2,570591
Switzerland,NA,NA,10.2,685434
Tajikistan,NA,NA,0.3,9242
